# per-window evidence behind the reported selection
# estimator=phase reference=first looks=128 overlap=0.9 dt_s=0.239889707667 t_sap_s=2.39909322525
# win_az=32 win_rg=32 stride_az=16 stride_rg=16 upsample_az=10 coherence_min=0 inject_vib=yes
# consensus_hz=0.162835247831 agree=10 voting=20 distinct=4 largest_block=9
# df_hz=0.0325670495661 quant_px=0 coherence_gate=0.249972869434 floor_px=0 n_win_az=5 n_win_rg=5
# cull_hz=0.162835247831 agree=9 input=20 survivors=9 snr_cull=0 sigma_cull=0 neigh_cull=11 snr_gate=0 snr_null=0 sigma_gate_px=0 gates=0
# amplitude_dispersion best=0.500054261131 median=0.56570576626 n_meeting_0.25=0
# passed_cull_source=selector expected_sum=9
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,d_a,passed_gates,agrees_with_consensus,passed_cull
0,0,0,0.162835247831,13.1779142638,0.452028729547,0,0,0,0.547971270453,1,1,0
1,0,1,1.40038313134,6.5352730929,0,0,0,0,2.43444708517,0,0,0
2,0,2,1.40038313134,6.5352730929,0,0,0,0,2.43444708517,0,0,0
3,0,3,0.130268198265,14.1229093481,0.43756034661,0,0,0,0.56243965339,1,0,0
4,0,4,0.260536396529,5.73713892029,0.350712063778,0,0,0,0.649287936222,1,0,0
5,1,0,0.195402297397,16.4866646559,0.499945738869,0,0,0,0.500054261131,1,0,0
6,1,1,0.162835247831,37.9661440019,0.444181234043,0,0,0,0.555818765957,1,1,1
7,1,2,0.162835247831,37.9661440019,0.444181234043,0,0,0,0.555818765957,1,1,1
8,1,3,0.162835247831,38.5267290822,0.419322486009,0,0,0,0.580677513991,1,1,1
9,1,4,0.260536396529,5.73713892029,0.350712063778,0,0,0,0.649287936222,1,0,0
10,2,0,0.195402297397,16.4866646559,0.499945738869,0,0,0,0.500054261131,1,0,0
11,2,1,0.162835247831,37.9661440019,0.444181234043,0,0,0,0.555818765957,1,1,1
12,2,2,0.162835247831,37.9661440019,0.444181234043,0,0,0,0.555818765957,1,1,1
13,2,3,0.162835247831,38.5267290822,0.419322486009,0,0,0,0.580677513991,1,1,1
14,2,4,0.130268198265,18.1436518241,0.368095486751,0,0,0,0.631904513249,1,0,0
15,3,0,0.130268198265,9.38803857282,0.434297108689,0,0,0,0.565702891311,1,0,0
16,3,1,0.162835247831,37.8534515802,0.43429423374,0,0,0,0.56570576626,1,1,1
17,3,2,0.162835247831,38.5299174916,0.429934853084,0,0,0,0.570065146916,1,1,1
18,3,3,0.162835247831,38.5299174916,0.429934853084,0,0,0,0.570065146916,1,1,1
19,3,4,0.130268198265,16.9665612573,0.482318498455,0,0,0,0.517681501545,1,0,0
20,4,0,0.130268198265,9.38803857282,0.434297108689,0,0,0,0.565702891311,1,0,0
21,4,1,0.944444437418,4.6545017495,0,0,0,0,1.81314936797,0,0,0
22,4,2,1.53065132961,8.65662650727,0,0,0,0,2.25318910483,0,0,0
23,4,3,1.53065132961,8.65662650727,0,0,0,0,2.25318910483,0,0,0
24,4,4,0.195402297397,4.90791412375,0.498824901848,0,0,0,0.501175098152,1,0,0
