# per-window evidence behind the reported selection
# estimator=phase reference=first looks=128 overlap=0.5 dt_s=0.254698925107 t_sap_s=0.509495924502
# win_az=32 win_rg=32 stride_az=16 stride_rg=16 upsample_az=10 coherence_min=0 inject_vib=yes
# consensus_hz=0.0920204119046 agree=7 voting=25 distinct=13 largest_block=7
# df_hz=0.0306734706349 quant_px=0 coherence_gate=0.498624371362 floor_px=0 n_win_az=5 n_win_rg=5
# cull_hz=0.0920204119046 agree=7 input=25 survivors=7 snr_cull=0 sigma_cull=0 neigh_cull=18 snr_gate=0 snr_null=0 sigma_gate_px=0 gates=0
# amplitude_dispersion best=0.241474644315 median=0.607298838647 n_meeting_0.25=2
# passed_cull_source=selector expected_sum=7
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,d_a,passed_gates,agrees_with_consensus,passed_cull
0,0,0,0.981551060316,6.16061122215,0.751604859413,0,0,0,0.555192931268,1,0,0
1,0,1,0.920204119046,5.78895788929,0.976777854542,0,0,0,2.99294161905,1,0,0
2,0,2,0.920204119046,5.78895788929,0.975615509045,0,0,0,2.99294161905,1,0,0
3,0,3,0.429428588888,5.94826470061,0.672139117514,0,0,0,0.567283475393,1,0,0
4,0,4,0.184040823809,9.0932100786,0.718085123345,0,0,0,0.567564200735,1,0,0
5,1,0,0.674816353967,3.89969106898,0.696053228072,0,0,0,0.561047380732,1,0,0
6,1,1,0.0920204119046,9.14573560444,0.994778153771,0,0,0,0.60730678999,1,1,1
7,1,2,0.0920204119046,9.14573560444,0.994248713812,0,0,0,0.60730678999,1,1,1
8,1,3,1.93242865,6.2204178802,0.996893620202,0,0,0,0.241474644315,1,0,0
9,1,4,0.429428588888,5.94826470061,0.711779406435,0,0,0,0.567283475393,1,0,0
10,2,0,0.337408176984,3.81055039624,0.725094274986,0,0,0,0.609533370447,1,0,0
11,2,1,0.0920204119046,9.14573560444,0.995092371193,0,0,0,0.60730678999,1,1,1
12,2,2,0.0920204119046,7.4947940457,0.990712558357,0,0,0,0.607298838647,1,1,1
13,2,3,0.0920204119046,7.4947940457,0.995033522536,0,0,0,0.607298838647,1,1,1
14,2,4,0.736163295237,4.66257631155,0.672129374723,0,0,0,0.578197226061,1,0,0
15,3,0,0.337408176984,3.81055039624,0.742907137005,0,0,0,0.609533370447,1,0,0
16,3,1,1.71771435555,8.2733155366,0.997248742724,0,0,0,0.241599709537,1,0,0
17,3,2,0.0920204119046,7.4947940457,0.994368055143,0,0,0,0.607298838647,1,1,1
18,3,3,0.0920204119046,7.4947940457,0.994854651064,0,0,0,0.607298838647,1,1,1
19,3,4,0.920204119046,4.17993320484,0.672124715133,0,0,0,0.520449367183,1,0,0
20,4,0,0.429428588888,4.4751344091,0.678650353878,0,0,0,0.557258748784,1,0,0
21,4,1,1.28828576666,4.22421170031,0.676620996937,0,0,0,0.573665267273,1,0,0
22,4,2,0.766836765872,4.09743103015,0.977770097576,0,0,0,2.92557654444,1,0,0
23,4,3,0.766836765872,4.09743103015,0.977485625154,0,0,0,2.92557654444,1,0,0
24,4,4,1.19626535476,3.82385688634,0.647032073771,0,0,0,0.533144212675,1,0,0
