# per-window evidence behind the reported selection
# estimator=phase reference=first looks=128 overlap=0.9 dt_s=0.239889707667 t_sap_s=2.39909322525
# win_az=32 win_rg=32 stride_az=16 stride_rg=16 upsample_az=10 coherence_min=0 inject_vib=yes
# consensus_hz=0.0325670495661 agree=10 voting=14 distinct=4 largest_block=9
# df_hz=0.0325670495661 quant_px=0 coherence_gate=0.44022953241 floor_px=0 n_win_az=5 n_win_rg=5
# cull_hz=0.0325670495661 agree=9 input=14 survivors=9 snr_cull=0 sigma_cull=0 neigh_cull=5 snr_gate=0 snr_null=0 sigma_gate_px=0 gates=0
# amplitude_dispersion best=0.11954093518 median=0.517681501545 n_meeting_0.25=9
# passed_cull_source=selector expected_sum=9
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,d_a,passed_gates,agrees_with_consensus,passed_cull
0,0,0,0.0651340991323,10.5130014727,0.452028729547,0,0,0,0.547971270453,1,0,0
1,0,1,1.43295018091,5.87654080795,0,0,0,0,2.43634540123,0,0,0
2,0,2,1.43295018091,5.87654080795,0,0,0,0,2.43634540123,0,0,0
3,0,3,0.130268198265,12.441230378,0.43756034661,0,0,0,0.56243965339,0,0,0
4,0,4,0.0651340991323,10.0042213572,0.350712063778,0,0,0,0.649287936222,0,0,0
5,1,0,0.195402297397,10.5989408016,0.499945738869,0,0,0,0.500054261131,1,0,0
6,1,1,0.0325670495661,53.9828119316,0.88045906482,0,0,0,0.11954093518,1,1,1
7,1,2,0.0325670495661,53.9828119316,0.88045906482,0,0,0,0.11954093518,1,1,1
8,1,3,0.0325670495661,54.0251696069,0.862691300655,0,0,0,0.137308699345,1,1,1
9,1,4,0.0651340991323,10.0042213572,0.350712063778,0,0,0,0.649287936222,0,0,0
10,2,0,0.195402297397,10.5989408016,0.499945738869,0,0,0,0.500054261131,1,0,0
11,2,1,0.0325670495661,53.9828119316,0.88045906482,0,0,0,0.11954093518,1,1,1
12,2,2,0.0325670495661,53.9828119316,0.88045906482,0,0,0,0.11954093518,1,1,1
13,2,3,0.0325670495661,54.0561421592,0.864259656388,0,0,0,0.135740343612,1,1,1
14,2,4,0.130268198265,14.732379651,0.368095486751,0,0,0,0.631904513249,0,0,0
15,3,0,0.0977011486984,8.49357435383,0.434297108689,0,0,0,0.565702891311,0,0,0
16,3,1,0.0325670495661,53.9367097761,0.880354847437,0,0,0,0.119645152563,1,1,1
17,3,2,0.0325670495661,54.0561421592,0.864259656388,0,0,0,0.135740343612,1,1,1
18,3,3,0.0325670495661,54.0561421592,0.864259656388,0,0,0,0.135740343612,1,1,1
19,3,4,0.130268198265,14.106454678,0.482318498455,0,0,0,0.517681501545,1,0,0
20,4,0,0.0977011486984,8.49357435383,0.434297108689,0,0,0,0.565702891311,0,0,0
21,4,1,0.781609189587,5.40711288917,0,0,0,0,1.82111538584,0,0,0
22,4,2,1.49808428004,9.74318291058,0,0,0,0,2.26915619001,0,0,0
23,4,3,1.49808428004,9.74318291058,0,0,0,0,2.26915619001,0,0,0
24,4,4,0.0325670495661,13.5313973224,0.498824901848,0,0,0,0.501175098152,1,1,0
