# per-window evidence behind the reported selection
# estimator=phase reference=first looks=128 overlap=0.5 dt_s=0.254698925107 t_sap_s=0.509495924502
# win_az=32 win_rg=32 stride_az=16 stride_rg=16 upsample_az=10 coherence_min=0 inject_vib=yes
# consensus_hz=0.0920204119046 agree=7 voting=25 distinct=12 largest_block=7
# df_hz=0.0306734706349 quant_px=0 coherence_gate=0.498624345496 floor_px=0 n_win_az=5 n_win_rg=5
# cull_hz=0.0920204119046 agree=7 input=25 survivors=7 snr_cull=0 sigma_cull=0 neigh_cull=18 snr_gate=0 snr_null=0 sigma_gate_px=0 gates=0
# amplitude_dispersion best=0.241481446017 median=0.6073024052 n_meeting_0.25=2
# passed_cull_source=selector expected_sum=7
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,d_a,passed_gates,agrees_with_consensus,passed_cull
0,0,0,0.981551060316,6.16061122215,0.751604859413,0,0,0,0.555192931268,1,0,0
1,0,1,0.920204119046,5.78894173158,0.976782891245,0,0,0,2.9931165543,1,0,0
2,0,2,0.920204119046,5.78894173158,0.975620799018,0,0,0,2.9931165543,1,0,0
3,0,3,0.429428588888,5.94826470061,0.672139117514,0,0,0,0.567283475393,1,0,0
4,0,4,0.184040823809,9.0932100786,0.718085123345,0,0,0,0.567564200735,1,0,0
5,1,0,0.674816353967,3.89969106898,0.696053228072,0,0,0,0.561047380732,1,0,0
6,1,1,0.0920204119046,8.9383748383,0.994779074217,0,0,0,0.607303100366,1,1,1
7,1,2,0.0920204119046,8.9383748383,0.994249747547,0,0,0,0.607303100366,1,1,1
8,1,3,0.153367353174,12.9168328492,0.996893693885,0,0,0,0.241481446017,1,0,0
9,1,4,0.429428588888,5.94826470061,0.711779406435,0,0,0,0.567283475393,1,0,0
10,2,0,0.337408176984,3.81055039624,0.725094274986,0,0,0,0.609533370447,1,0,0
11,2,1,0.0920204119046,8.9383748383,0.995093231567,0,0,0,0.607303100366,1,1,1
12,2,2,0.0920204119046,7.05989814529,0.990709434812,0,0,0,0.6073024052,1,1,1
13,2,3,0.0920204119046,7.05989814529,0.995032638787,0,0,0,0.6073024052,1,1,1
14,2,4,0.736163295237,4.66257631155,0.672129374723,0,0,0,0.578197226061,1,0,0
15,3,0,0.337408176984,3.81055039624,0.742907137005,0,0,0,0.609533370447,1,0,0
16,3,1,0.153367353174,16.6673129966,0.997248690991,0,0,0,0.241592707021,1,0,0
17,3,2,0.0920204119046,7.05989814529,0.994367082288,0,0,0,0.6073024052,1,1,1
18,3,3,0.0920204119046,7.05989814529,0.994853774596,0,0,0,0.6073024052,1,1,1
19,3,4,0.920204119046,4.17993320484,0.672124715133,0,0,0,0.520449367183,1,0,0
20,4,0,0.429428588888,4.4751344091,0.678650353878,0,0,0,0.557258748784,1,0,0
21,4,1,1.28828576666,4.22421170031,0.676620996937,0,0,0,0.573665267273,1,0,0
22,4,2,0.766836765872,4.09761533459,0.97776535761,0,0,0,2.92537699074,1,0,0
23,4,3,0.766836765872,4.09761533459,0.977480824811,0,0,0,2.92537699074,1,0,0
24,4,4,1.19626535476,3.82385688634,0.647032073771,0,0,0,0.533144212675,1,0,0
